YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
202211,121598400000000.0,654363098974.0591,0.005381346292172093,3457384419074.8354,0.0284328117728098,4209713010060.3755,0.034619805935443025,3106522882091.634,0.025547399325086793,4159759401523.3633,0.034208997828288554,18739258240.72971,0.0001541077698450778
202212,112431100000000.0,460917350272.73236,0.004099553862523202,1791947609976.7175,0.015938184452315395,4978098666699.86,0.04427688305726672,6712781734892.065,0.05970573742400515,5606121787788.655,0.0498627318223219,1187544648.9658453,1.0562421331516327e-05
202301,98780500000000.0,485759200844.17883,0.004917561673044567,2438276229815.25,0.024683781007539443,3935979314609.829,0.03984571159904869,6886449741463.668,0.06971466778831518,5091533190298.262,0.05154390988401822,1059138186.8105289,1.072213834522531e-05
202302,97829400000000.0,844376837034.1996,0.008631115360353837,3225066654787.007,0.03296623157033578,3223043251728.868,0.032945548595093785,5108561745088.071,0.05221908490789141,4665531346639.18,0.04769048309239533,984522547.6704986,1.0063667442205498e-05
202303,95347400000000.0,855622188409.7548,0.008973733823992629,1992324825214.3547,0.020895428980909334,4348187227727.4346,0.04560362660887905,4704062905111.692,0.049336037533395695,2679737464247.3315,0.028104987280694927,957636548.430737,1.0043656653781194e-05
202304,83742500000000.0,809442040436.9923,0.009665845185383675,2955758361815.408,0.03529579797373387,7551447418060.947,0.0901746116734149,6425841582468.887,0.07673333829858062,4690130477479.145,0.05600657345409015,9802928968.61635,0.00011706038115194018
202305,83790500000000.0,544969202178.40027,0.006503949757769679,3354575133171.7793,0.04003526811717056,7422276715007.157,0.08858136322145299,5705584214188.088,0.06809344990408325,4620030049659.241,0.055137874217951216,9285647195.330084,0.00011081980887248654
202306,83728900000000.0,508590384069.4031,0.006074251352512729,1529507601142.446,0.018267379616147425,4319918806984.3486,0.05159411872106702,7248783756187.556,0.08657445345857351,2925525261446.968,0.03494044781965328,7221080103.273977,8.624358021273392e-05
202307,82227200000000.0,649563128074.9257,0.007899613851315936,2860131777572.3154,0.034783280685373154,5355841279285.037,0.0651346668655267,8815265892165.73,0.10720620296162013,4863003504096.567,0.059141056780439655,9375727702.42017,0.00011402221773841466
202308,85154200000000.0,830027114570.2413,0.009747342052068382,3700026374354.0903,0.04345089701217427,3812927876135.426,0.04477674473056439,4875820150255.517,0.05725871595594247,3886678293956.8374,0.04564282553246742,1088168488.8837361,1.27787999756176e-05
