YYYYMM,cp_denom_prev_balance_total_amt,cp_bucket_issue_amt_ultra,cp_rollover_ultra,cp_bucket_issue_amt_short,cp_rollover_short,cp_bucket_issue_amt_main,cp_rollover_main,cp_bucket_issue_amt_mid,cp_rollover_mid,cp_bucket_issue_amt_long,cp_rollover_long,cp_bucket_issue_amt_ultra_long,cp_rollover_ultra_long
202310,117218350000000.0,289999999999.998,0.0024740153738727596,3583999999999.9985,0.030575417586069062,13343000000000.0,0.11383030046063607,2063099999999.9983,0.017600486613230763,2368800000000.0,0.02020844006079253,159999999999.99936,0.0013649739993780784
202311,117617950000000.0,25999999999.997974,0.000221054694457759,4174999999999.9985,0.035496282667739056,10306000000000.0,0.0876226800416093,3316099999999.999,0.02819382585736275,6780200000000.0,0.05764596305240824,219999999999.9985,0.0018704627992580938
202312,122159530000000.0,259999999999.99896,0.0021283644427904968,3180500000000.0,0.026035627347289238,6229000000000.0,0.05099070043900791,3131499999999.999,0.025634512509994097,3034500000000.0,0.02484046885249149,350000000000.0,0.002865105980679526
202401,114903730000000.0,429999999999.99963,0.0037422631971999487,2697000000000.0,0.02347182289034481,11788500000000.0,0.10259458069812007,2475499999999.9995,0.021544122196903437,3506099999999.9985,0.030513369757448245,0.0,0.0
202402,116622330000000.0,54999999999.998436,0.0004716077958654954,3532999999999.9995,0.03029436986896077,10058600000000.0,0.08624934864532376,2227999999999.999,0.019104403076151875,2892999999999.998,0.024806570062525745,199999999999.99844,0.0017149374395109276
202403,116470430000000.0,274999999999.99884,0.002361114318887625,2160999999999.999,0.018554065611331553,7251399999999.999,0.062259579534479255,2531300000000.0,0.021733413365091894,5985399999999.999,0.05138986779734563,59999999999.99828,0.0005151522150300148
202404,116579500000000.0,329999999999.999,0.0028306863556628653,2485000000000.0,0.02131592604188558,12787600000000.0,0.1096899540656805,1764499999999.9985,0.01513559416535496,2334399999999.9985,0.02002410372321033,19999999999.99833,0.00017155674882803862
202405,116120900000000.0,119999999999.99933,0.0010334057004380722,2652000000000.0005,0.022838265979681527,10834600000000.0,0.09330447834971999,1541900000000.0,0.013278402079212269,4612500000000.0,0.03972153161058862,64999999999.99939,0.0005597614210706203
202406,116088200000000.0,384999999999.99994,0.0033164438762940587,2020050000000.0,0.017400993382617698,6974000000000.0,0.060075011930583816,1863499999999.999,0.01605244977525708,6939700000000.0,0.0597795469306958,184999999999.99997,0.0015936158886088333
202407,112274500000000.0,499999999999.9995,0.004453370979162673,2634999999999.9995,0.023469265060187306,12146500000000.0,0.10818574119679891,1435000000000.0,0.012781174710196883,4833499999999.999,0.043050737255565595,19999999999.99791,0.00017813483916648848
202408,112827200000000.0,259999999999.99957,0.0023044088659472145,2909999999999.999,0.02579165307656309,11652000000000.0,0.10327296963852688,1127699999999.9998,0.009994930300494915,4464999999999.998,0.039573790717132025,0.0,0.0
