YYYYMM,abstb_denom_prev_balance_total_amt,abstb_bucket_issue_amt_ultra,abstb_rollover_ultra,abstb_bucket_issue_amt_short,abstb_rollover_short,abstb_bucket_issue_amt_main,abstb_rollover_main,abstb_bucket_issue_amt_mid,abstb_rollover_mid,abstb_bucket_issue_amt_long,abstb_rollover_long,abstb_bucket_issue_amt_ultra_long,abstb_rollover_ultra_long
202505,25036276132694.5,3455096904000,0.1380036266451,16896140126866,0.674866343433622,146100000000,0.005835532378124324,25621793695308,1.023386767245664,43280000000,0.0017286915901794713,0,0.0
202506,25544523216028.0,6242615696667,0.24438176605895892,20465485529975,0.8011692117680185,1469030000000,0.057508609089178535,24164547694201,0.9459776363740808,46520000000,0.0018211340100805194,0,0.0
202507,28415662313362.5,3636332000000,0.12796928538561675,19841550333333,0.6982610545735014,1380090000000,0.04856793358467703,23081112727927,0.8122672796921956,65430000000,0.0023026033769141274,0,0.0
202508,25969050383571.0,5534107000000,0.21310394174063002,19020927112868,0.7324460013717465,28730000000,0.0011063169263276443,26050768948392,1.0031467675411303,53300000000,0.0020524431664902,0,0.0
202509,27326549383571.0,3948083968000,0.14447795484832154,22876802761535,0.837163977069449,706490000000,0.025853611814770472,26116771962744,0.9557288626585861,59500000000,0.002177369676823229,0,0.0
202510,28740456610845.0,4619125000000,0.16071856695056846,20701672589893,0.7202972753773639,1739090000000,0.06051017294359085,22747681366750,0.7914864288609225,653010408860,0.02272094760712992,0,0.0
202511,26794250947457.0,4677274000000,0.1745625958781995,17292697285971,0.6453883454283398,25200000000,0.0009405002606498202,27391180987339,1.022278288019791,638010408860,0.02381146650119557,0,0.0
202512,26643487605790.5,4555854000000,0.17099315477790017,19886864746899,0.7464062153250889,18300000000,0.0006868470175812423,29256655725882,1.0980790562690288,634810408860,0.023826100330875413,0,0.0
202601,28988244293761.5,848834000000,0.029282007954606476,4712341060000,0.16256041629310172,0,0.0,18083185001678,0.6238109772508591,5000000000,0.00017248371268473268,0,0.0
202602,508915.0,2852000000000,5604079.266675182,9279153156560,18233208.21072281,0,0.0,17832306029344,35039851.50633013,3500000000,6877.376379159585,0,0.0
