YYYYMM,abcp_denom_prev_balance_total_amt,abcp_bucket_issue_amt_ultra,abcp_rollover_ultra,abcp_bucket_issue_amt_short,abcp_rollover_short,abcp_bucket_issue_amt_main,abcp_rollover_main,abcp_bucket_issue_amt_mid,abcp_rollover_mid,abcp_bucket_issue_amt_long,abcp_rollover_long,abcp_bucket_issue_amt_ultra_long,abcp_rollover_ultra_long
202401,83445500000000.0,2891450000000,0.034650760076936446,8939803219630,0.10713343702931853,23343803000000,0.27974909371985307,34581205313145,0.4144166589348137,15535443000000,0.18617472482039174,400000000,4.793547884547399e-06
202402,85292100000000.0,4510649740441,0.05288473071293824,15854829027266,0.18588859961550952,23632415000000,0.27707624738985204,26276504598526,0.30807665186489724,15874189000000,0.18611558397553818,0,0.0
202403,86148600000000.0,2484256940622,0.028836881163733362,13835059092296,0.1605952864271271,18945849803279,0.21992057680889765,28297571005454,0.3284739508878148,11242918000000,0.13050610224658324,0,0.0
202404,74805700000000.0,2282780138378,0.03051612562114919,9899688539034,0.13233869262681855,17105885000000,0.22867087668453073,30995129245471,0.4143418114591669,14125797000000,0.18883316378297377,0,0.0
202405,74409300000000.0,3916649000000,0.05263655215141118,13219920898804,0.17766490074229968,21556458000000,0.2897011260689188,26551383830096,0.3568288349721876,11937209646301,0.16042631292460754,0,0.0
202406,77181600000000.0,3566030691718,0.046203119548156556,11860890563938,0.15367510603483214,22696534246301,0.2940666460179758,24949876355700,0.3232619737826114,10299279000000,0.13344215460679748,0,0.0
202407,73372600000000.0,2712946138378,0.03697492167891011,10278123715485,0.14008122535503717,19611374646301,0.26728471726913045,27701594368617,0.37754685493790596,16309720000000,0.2222862485450972,0,0.0
202408,76613800000000.0,3128623000000,0.040836285368954416,11872120568018,0.15496060198055703,17581165646301,0.229477791811671,27493707638378,0.3588610359801759,20472427000000,0.2672159193252391,0,0.0
202409,80548100000000.0,2558756000000,0.0317668076590261,13464825473484,0.16716502901352112,16425035403279,0.20391586397790884,27942143314667,0.3469000921768111,25964640000000,0.3223495029677919,0,0.0
202410,86355400000000.0,2655924138378,0.030755738939058818,10984769186618,0.12720419552938206,20418359000000,0.23644565365918055,27459284777187,0.3179799384541905,30690982000000,0.3554031595013167,0,0.0
202411,92209300000000.0,4903643940622,0.05317949426600137,12861015836084,0.13947634171481618,19065504000000,0.20676335250348934,25238019095375,0.2737036187822161,31974242000000,0.34675723598378905,0,0.0
202412,94042500000000.0,2848702778398,0.030291653012180664,10377140017087,0.11034521644030093,17932694000000,0.1906871255017678,28836231246996,0.3066297817156711,29780577000000,0.3166714730042268,0,0.0
202501,89775400000000.0,3535011138378,0.039376166949721195,10630421436932,0.11841129571053986,24504841000000,0.27295719094540377,28133726906823,0.31337902038668725,28873927885143,0.32162405163489105,0,0.0
202502,95677900000000.0,3413011000000,0.035671884520876815,11345850280860,0.11858381382597236,24175186000000,0.25267262345849983,26033830263698,0.2720986796710421,31742769885143,0.33176700037462153,0,0.0
202503,96710600000000.0,3076534702820,0.031811763165775005,10713659139439,0.11078060873822518,28298154803279,0.2926065478166716,27528610302077,0.2846493590369308,22287930885143,0.23046006213530884,0,0.0
202504,91904900000000.0,922525138378,0.010037823210492585,11823662704624,0.12865105891659748,29218314000000,0.3179190010543507,32680304226312,0.3555882681588468,24524820885143,0.2668499817217907,0,0.0
202505,99169600000000.0,3393430000000,0.034218450008873684,15432489151094,0.15561713621002807,33346239000000,0.33625464860199095,29143099819797,0.29387130551899976,27079889885143,0.2730664425907032,0,0.0
202506,108395200000000.0,2935376702820,0.027080320003284277,13305584580617,0.12275068066313823,36555136803279,0.33723944236718045,31998550265468,0.29520264979877336,22022444885143,0.20316808202893671,70000000000,0.0006457850532126883
202507,106887100000000.0,1518114138378,0.014202968724738533,12424101496641,0.11623574310315277,33803943885143,0.3162584061607341,36417524787740,0.3407101959707018,28518439000000,0.26680898817537385,70000000000,0.0006548966152136226
202508,112752200000000.0,3517508940622,0.03119680982386153,17748645031623,0.1574128489876295,28793515885143,0.25536988089937934,33849819425032,0.300214270098783,30312825000000,0.26884464338611574,70000000000,0.0006208304582970444
