YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b,issue_detail_b+,issue_detail_b-,issue_detail_c,issue_detail_d
202011,0.0,0.1498686204947554,0.0004246171426399,0.0382070504947388,0.8114997118678657,0.8114997118678657,0.0321689947263994,0.0597945860265518,0.0579050397418042,0.0182118292478256,0.0118128489082422,0.008182372338671,0.0,0.0,0.0004246171426399,0.0,0.0
202012,0.0,0.1185543191454183,0.0244000107425734,0.0378064251330685,0.8192392449789396,0.8192392449789396,0.0095982005122642,0.0634439500544336,0.0455121685787204,0.0147785104853029,0.0190669579967165,0.003960956651049,0.0,0.0,0.0244000107425734,0.0,0.0
202101,0.0,0.1111458062860596,0.0012834981556429,0.0441266665910057,0.8434440289672916,0.8434440289672916,0.0231286367646865,0.0535218730903123,0.0344952964310607,0.0222045180926235,0.01249613804334,0.009426010455042,0.0,0.0,0.0012834981556429,0.0,0.0
202102,0.0,0.1696927935541927,0.0007420102330086,0.0528627876934913,0.7767024085193073,0.7767024085193073,0.0351861252492704,0.0927512791260819,0.0417553891788404,0.0209118270601386,0.0199947024121399,0.0119562582212128,0.0,0.0,0.0007420102330086,0.0,0.0
202103,0.0,0.15098977413938,0.0168412248868998,0.0413902687531174,0.7907787322206027,0.7907787322206027,0.0083250271130107,0.0877623538950759,0.0549023931312933,0.0157642968306185,0.0234047509103888,0.00222122101211,0.0,0.0,0.0168412248868998,0.0,0.0
202104,0.0,0.1280921414005098,0.001481430755766,0.0439293600109827,0.8264970678327414,0.8264970678327414,0.0075997397770798,0.0894909940077656,0.0310014076156643,0.0249571701321388,0.0103700152903623,0.0086021745884815,0.0,0.0,0.001481430755766,0.0,0.0
202105,0.0,0.1457843149374588,0.0013089173281362,0.0410171060060285,0.8118896617283764,0.8118896617283764,0.0364751628773958,0.0604080006808938,0.048901151379169,0.0181939508610934,0.0137436319454302,0.0090795231995048,0.0,0.0,0.0013089173281362,0.0,0.0
202106,0.0,0.1075994347833031,0.0167365294558048,0.0539362793493906,0.8217277564115014,0.8217277564115014,0.0021614032325782,0.0621095477224254,0.0433284838282994,0.0251621765704129,0.0253981056944639,0.0033759970845137,0.0,0.0,0.0167365294558048,0.0,0.0
202107,0.0,0.1338529808982874,0.0014600357985855,0.0354204684736855,0.8292665148294415,0.8292665148294415,0.0166492748898706,0.0834184776291471,0.0337852283792697,0.018995065739598,0.0104684566758584,0.005956946058229,0.0,0.0,0.0014600357985855,0.0,0.0
202108,0.0,0.1202785937570876,0.0013465827315981,0.0465378992040322,0.831836924307282,0.831836924307282,0.0211817463680389,0.0570161370266063,0.0420807103624423,0.0224969088358998,0.0132413968607151,0.0107995935074172,0.0,0.0,0.0013465827315981,0.0,0.0
202109,0.0,0.1239168807257625,0.0159589471412347,0.049288210811507,0.8108359613214957,0.8108359613214957,0.0062140150431182,0.0559965991268639,0.0617062665557803,0.0317832406659652,0.0159589471412347,0.0015460230043071,0.0,0.0,0.0159589471412347,0.0,0.0
202110,0.0,0.1431624227141648,0.00173569693826,0.0457182573537695,0.8093836229938055,0.8093836229938055,0.0034063052413353,0.0710789288682252,0.0686771886046043,0.0277060623769759,0.0158338953192772,0.0021782996575163,0.0,0.0,0.00173569693826,0.0,0.0
202111,0.0,0.1596914312289801,0.0014822741476503,0.0386836495683061,0.8001426450550634,0.8001426450550634,0.0160678517605302,0.0915698170883372,0.0520537623801126,0.0190805739656296,0.0180096308939522,0.0015934447087241,0.0,0.0,0.0014822741476503,0.0,0.0
202112,0.0,0.0910756352926005,0.0047750579500346,0.0379226420468205,0.8662266647105443,0.8662266647105443,0.0024804255569543,0.0439983823728268,0.0445968273628193,0.0178717396184478,0.0200509024283727,0.0,0.0,0.0,0.0047750579500346,0.0,0.0
202201,0.0,0.1330229759120913,0.001719558353457,0.0593763499448732,0.8058811157895783,0.8058811157895783,0.0202993863625609,0.0591980798912536,0.0535255096582766,0.0291723074663995,0.0286650377521296,0.001539004726344,0.0,0.0,0.001719558353457,0.0,0.0
202202,0.0,0.1525353393273188,0.0013226585153067,0.04291034888284,0.8032316532745344,0.8032316532745344,0.0384562963325444,0.0640706471895405,0.0500083958052338,0.0219462114152276,0.0200019033977266,0.0009622340698856,0.0013226585153067,0.0,0.0,0.0,0.0
202203,0.0,0.123904952197026,0.0014031419576895,0.0467842607242639,0.8279076451210204,0.8279076451210204,0.0298448294400568,0.0452080166511091,0.04885210610586,0.0212365535296314,0.0253723144499213,0.0001753927447111,0.0014031419576895,0.0,0.0,0.0,0.0
202204,0.0,0.1356285156113825,0.0013436064157129,0.0481346998429151,0.8148931781299894,0.8148931781299894,0.0555009548367403,0.0712581125130777,0.0088694482615644,0.0220922484903595,0.0251254399738314,0.000917011378724,0.0013436064157129,0.0,0.0,0.0,0.0
202205,0.0,0.1202911481377735,0.0011260925236471,0.0326397917979117,0.8459429675406676,0.8459429675406676,0.0513004962257728,0.0591964621875798,0.0097941897244208,0.0184341346121033,0.0133244897860545,0.0008811673997538,0.0011260925236471,0.0,0.0,0.0,0.0
202206,0.0,0.1306583654327559,0.0012742708657406,0.0385562507201484,0.8295111129813549,0.8295111129813549,0.0456363545043767,0.0722633738851506,0.0127586370432285,0.0174861819551264,0.021070068765022,0.0,0.0012742708657406,0.0,0.0,0.0,0.0
202207,0.0,0.1412294412595679,0.0012229602235144,0.037933168732858,0.8196144297840596,0.8196144297840596,0.0474895939374387,0.086905701001086,0.0068341463210431,0.0214690667237953,0.0158220478917176,0.000642054117345,0.0012229602235144,0.0,0.0,0.0,0.0
