YYYYMM,issue_share_distress,issue_share_high,issue_share_low,issue_share_mid,issue_share_top,issue_detail_a1,issue_detail_a2,issue_detail_a2+,issue_detail_a2-,issue_detail_a3,issue_detail_a3+,issue_detail_a3-,issue_detail_b+,issue_detail_c,issue_detail_d
202001,0.0,0.052304585622662,0.0,0.0021196744618552,0.9455757399154828,0.9455757399154828,0.0055350967675024,0.0460441517469499,0.0007253371082096,0.0003521053923347,7.042107846695259e-06,0.0017605269616738,0.0,0.0,0.0
202002,0.0,0.0822709364915672,0.0,0.0023525985340694,0.9153764649743632,0.9153764649743632,0.0012965222382146,0.0766605311698384,0.0043138830835141,0.0019742497718268,7.071939481170696e-06,0.0003712768227614,0.0,0.0,0.0
202003,0.0,0.0297688115770218,0.0,0.0072263166833406,0.9630048717396376,0.9630048717396376,0.018783272704156,0.0109855388728657,0.0,0.0049200454014234,0.0,0.0023062712819172,0.0,0.0,0.0
202004,0.0,0.0141794216905508,0.0,0.0051097850565686,0.9807107932528804,0.9807107932528804,0.0,0.0141794216905508,0.0,0.0,0.0027913707840783,0.0023184142724903,0.0,0.0,0.0
202005,0.0,0.0282802424592146,0.0,6.985298959846025e-06,0.9717127722418256,0.9717127722418256,0.0070435097845114,0.0205382027787186,0.0006985298959846,0.0,6.985298959846025e-06,0.0,0.0,0.0,0.0
202006,0.0,0.0207034396444256,0.0,0.0049015565525351,0.9743950038030392,0.9743950038030392,0.0068197807093698,0.0058205984061355,0.0080630605289203,0.0030634728453344,0.0,0.0018380837072006,0.0,0.0,0.0
202007,0.0,0.0545473418635871,0.0,0.0010168720114431,0.9444357861249698,0.9444357861249698,0.0111602968022067,0.0433870450613803,0.0,0.0,5.059064733547927e-06,0.0010118129467095,0.0,0.0,0.0
202008,0.0,0.0565725350554854,0.0,4.635921390535349e-06,0.943422829023124,0.943422829023124,0.0120302160084392,0.0373411878204146,0.0072011312266315,0.0,4.635921390535349e-06,0.0,0.0,0.0,0.0
202009,0.0,0.05862967382566,0.0,0.0056294598593563,0.9357408663149837,0.9357408663149837,0.0108156605993521,0.042563256835751,0.0052507563905568,0.0044187824982989,0.0006928512870379,0.0005178260740194,0.0,0.0,0.0
202010,0.0,0.0364462440906856,0.0,0.0010878032659553,0.962465952643359,0.962465952643359,0.0104833863122976,0.0258543873672528,0.0001084704111351,0.0007747886509653,3.0991546038613445e-06,0.0003099154603861,0.0,0.0,0.0
202011,0.0,0.0292250811419597,0.0,3.846502003899327e-06,0.9707710723560364,0.9707710723560364,0.0019104293286033,0.0243070077881408,0.0030076440252156,0.0,3.846502003899327e-06,0.0,0.0,0.0,0.0
202012,0.0,0.0041878697798711,0.0,0.0027858928886042,0.9930262373315246,0.9930262373315246,0.0001806089392936,0.0040072608405774,0.0,0.0,0.0021086093662531,0.0006772835223511,0.0,0.0,0.0
202101,0.0,0.033469707877271,0.0,0.0060496821165331,0.9604806100061958,0.9604806100061958,0.0046116029671558,0.0285656142356655,0.0002924906744496,0.0,0.0055621976591171,0.000487484457416,0.0,0.0,0.0
202102,0.0,0.0613940953174528,0.0,0.0024805683996372,0.93612533628291,0.93612533628291,0.0062737963055934,0.0527357231240016,0.0023845758878576,0.0013332293302718,0.0011473390693653,0.0,0.0,0.0,0.0
202103,0.0,0.0593324274391543,0.0,0.0102305903257111,0.9304369822351344,0.9304369822351344,0.006199757544913,0.0459524395107557,0.0071802303834855,0.0022085398282996,0.0080220504974114,0.0,0.0,0.0,0.0
202104,0.0,0.0464693359508826,0.0,0.0009546286557262,0.9525760353933912,0.9525760353933912,0.0048552154255036,0.0416141205253789,0.0,0.0005183504012993,4.319586677494381e-06,0.0004319586677494,0.0,0.0,0.0
202105,0.0,0.0451319422877747,0.0,0.0014707553573471,0.953397302354878,0.953397302354878,0.0042964521865234,0.0394181873064508,0.0014173027948003,0.0004130425287704,0.0010577128285767,0.0,0.0,0.0,0.0
202106,0.0,0.0711057789508139,0.0,4.579215205031316e-06,0.928889641833981,0.928889641833981,0.0171262648668171,0.0495834674871667,0.00439604659683,4.579215205031316e-06,0.0,0.0,0.0,0.0,0.0
202107,0.0,0.0426517906371651,0.0,0.0004165132579164,0.9569316961049184,0.9569316961049184,0.0087467784162464,0.0339050122209187,0.0,0.0,0.0004165132579164,0.0,0.0,0.0,0.0
202108,0.0,0.048973285843637,0.0,0.0042763196173873,0.9467503945389756,0.9467503945389756,0.0116101878466476,0.0361682244621714,0.0011948735348179,0.0002721656384863,0.0019595925971014,0.0020445613817995,0.0,0.0,0.0
202109,0.0,0.0621969328325386,0.0,0.006928776260966,0.9308742909064952,0.9308742909064952,0.0085643795790751,0.0521300305202924,0.001502522733171,0.0010045437701772,0.0059242324907887,0.0,0.0,0.0,0.0
202110,0.0,0.0298393020287209,0.0,0.0009728735135286,0.9691878244577504,0.9691878244577504,0.0087821181512426,0.0210571838774783,0.0,0.0001437199508621,0.0008291535626664,0.0,0.0,0.0,0.0
202111,0.0,0.0171311966534746,0.0,0.0078018119665413,0.975066991379984,0.975066991379984,0.0004945078282059,0.0164293759280592,0.0002073128972094,0.0001179210974952,0.0076838908690461,0.0,0.0,0.0,0.0
202112,0.0,0.0249715290999319,0.0,0.0004070366307561,0.974621434269312,0.974621434269312,0.0028627121716813,0.0221088169282505,0.0,0.0004070366307561,0.0,0.0,0.0,0.0,0.0
202201,0.0,0.0470046870655657,0.0,0.0037153925003264,0.9492799204341078,0.9492799204341078,0.0160457948615072,0.0305520974047526,0.0004067947993058,0.0037153925003264,0.0,0.0,0.0,0.0,0.0
202202,0.0,0.0523409491652488,0.0,0.0028318167753385,0.9448272340594126,0.9448272340594126,0.0190489969969493,0.0332919521682995,0.0,0.0019549336208621,0.0008768831544764,0.0,0.0,0.0,0.0
202203,0.0,0.0583276972649609,0.0,0.0192365258226815,0.9224357769123576,0.9224357769123576,0.0196909855940033,0.037955362688466,0.0006813489824914,0.005028355490787,0.0142081703318945,0.0,0.0,0.0,0.0
202204,0.0,0.036608291078257,0.0,0.0015982945362343,0.9617934143855084,0.9617934143855084,0.0054758960632726,0.0311323950149844,0.0,9.927295256114232e-06,0.0015883672409782,0.0,0.0,0.0,0.0
202205,0.0,0.0341409247707854,0.0,0.0038170190634137,0.9620420561658009,0.9620420561658009,0.0015362217979434,0.0302426014896532,0.0023621014831888,0.0011211423706439,0.0026958766927698,0.0,0.0,0.0,0.0
202206,0.0,0.0097388365598798,0.0,0.007801572486854,0.982459590953266,0.982459590953266,0.0030867852247911,0.0060685380600809,0.0005835132750077,0.0058409678828278,0.0019606046040261,0.0,0.0,0.0,0.0
202207,0.0,0.0159557816046498,0.0,0.0007939212587156,0.9832502971366344,0.9832502971366344,0.009552109818867,0.0064005399464979,3.131839284874454e-06,0.0007907894194307,3.131839284874454e-06,0.0,0.0,0.0,0.0
202208,0.0,0.0193675746535546,0.0,0.0005233934519757,0.9801090318944696,0.9801090318944696,0.0032371733734918,0.0161304012800628,0.0,0.0005183511258488,5.042326126934297e-06,0.0,0.0,0.0,0.0
202209,0.0,0.0428893187076223,0.0,0.0033084236974043,0.9538022575949732,0.9538022575949732,0.0047168398436592,0.033659791649196,0.0045126872147669,0.0006778002703851,0.0026306234270192,0.0,0.0,0.0,0.0
202210,0.0,0.0671623302228576,0.0,0.0010985540899589,0.9317391156871834,0.9317391156871834,0.0,0.0671623302228576,0.0,1.494631414910201e-05,0.0010836077758098,0.0,0.0,0.0,0.0
202211,0.0,0.0973776862699144,0.0,1.5595817676627256e-05,0.9026067179124088,0.9026067179124088,0.0250182908562562,0.0723593954136582,0.0,1.0397211784418172e-05,5.198605892209086e-06,0.0,0.0,0.0,0.0
202212,0.0,0.0199945044210429,0.0,0.003627104594827,0.97637839098413,0.97637839098413,0.0015487210054769,0.0158640654994358,0.0025817179161301,0.0036219421914754,5.16240335158992e-06,0.0,0.0,0.0,0.0
202301,0.0,0.0251957231093625,0.0,1.9265649241457317e-05,0.974785011241396,0.974785011241396,0.0142405257309772,0.0069463368653921,0.0040088605129932,1.3914080007719172e-05,5.351569233738143e-06,0.0,0.0,0.0,0.0
